seed,method,method_label,mean,median,n,source_file,metric
44,shapley_mc,Monte Carlo Shapley,0.0005829772724089694,0.0007760462946577729,500,movielens_actionshap_seed44.json,joint_effect_b2
44,loo_oracle,LOO oracle,0.000381619105593176,0.00013208335268638516,500,movielens_actionshap_seed44.json,joint_effect_b2
44,lime,LIME,0.00027179605115018677,0.00011680226445523467,500,movielens_actionshap_seed44.json,joint_effect_b2
45,shapley_mc,Monte Carlo Shapley,0.0007542019896070666,0.0009194973179013632,500,movielens_actionshap_seed45.json,joint_effect_b2
45,loo_oracle,LOO oracle,0.0005637211669945132,0.0004184225007406728,500,movielens_actionshap_seed45.json,joint_effect_b2
45,lime,LIME,0.000489708319279287,0.0002639849737064437,500,movielens_actionshap_seed45.json,joint_effect_b2
46,shapley_mc,Monte Carlo Shapley,0.0007364446366686433,0.0008891240414476698,500,movielens_actionshap_seed46.json,joint_effect_b2
46,loo_oracle,LOO oracle,0.0004461321198212659,0.00020001279103865066,500,movielens_actionshap_seed46.json,joint_effect_b2
46,lime,LIME,0.00035741510093527693,0.00018353699265388768,500,movielens_actionshap_seed46.json,joint_effect_b2
42,shapley_mc,Monte Carlo Shapley,7.232191993182813e-05,0.0,20,movielens_actionshap_seed42.json,joint_regret_b2
42,loo_oracle,LOO oracle,0.0006212669888656624,0.0006289391370657149,20,movielens_actionshap_seed42.json,joint_regret_b2
42,lime,LIME,0.0007450401281022922,0.0006839572154580809,20,movielens_actionshap_seed42.json,joint_regret_b2
43,shapley_mc,Monte Carlo Shapley,0.00030804856483416523,2.476141543297783e-05,20,movielens_actionshap_seed43.json,joint_regret_b2
43,loo_oracle,LOO oracle,0.0006565569498872381,0.0006180544062738269,20,movielens_actionshap_seed43.json,joint_regret_b2
43,lime,LIME,0.0008173575290856244,0.0007066890444029639,20,movielens_actionshap_seed43.json,joint_regret_b2
44,shapley_mc,Monte Carlo Shapley,0.0003636938288207964,0.0002716583489820734,20,movielens_actionshap_seed44.json,joint_regret_b2
44,loo_oracle,LOO oracle,0.0006825333805631883,0.0007251688203026019,20,movielens_actionshap_seed44.json,joint_regret_b2
44,lime,LIME,0.0008753480863877061,0.0009123921773986909,20,movielens_actionshap_seed44.json,joint_regret_b2
45,shapley_mc,Monte Carlo Shapley,0.00028567840326962634,2.7924985551625037e-05,20,movielens_actionshap_seed45.json,joint_regret_b2
45,loo_oracle,LOO oracle,0.0005047138425985226,0.0,20,movielens_actionshap_seed45.json,joint_regret_b2
45,lime,LIME,0.0006067023725109671,0.00043257348065905976,20,movielens_actionshap_seed45.json,joint_regret_b2
46,shapley_mc,Monte Carlo Shapley,0.0002723021953511373,0.0,20,movielens_actionshap_seed46.json,joint_regret_b2
46,loo_oracle,LOO oracle,0.000507192366329709,0.0005884686381857906,20,movielens_actionshap_seed46.json,joint_regret_b2
46,lime,LIME,0.0006928107918397292,0.0007418670917991588,20,movielens_actionshap_seed46.json,joint_regret_b2
