planner,selection_seed,evaluation_seed,selected_mask,selected_interventions,feasible,robust_lower_improvement,robust_upper_improvement,cost,relevance_delta_lower,provider_disparity_upper,fatigue_upper
scenario_only_per_seed,42,214,5,repeat_cap;tail_slot,True,0.1879760078658851,0.20141160756302168,0.13,-0.035665583109064425,0.1684511784511784,0.0
scenario_only_per_seed,42,215,5,repeat_cap;tail_slot,False,0.19004489589498602,0.20063003022275083,0.13,-0.042268816943436316,0.2352693602693603,0.0
scenario_only_per_seed,42,216,5,repeat_cap;tail_slot,True,0.1903780889900052,0.20493081250643574,0.13,-0.041453598922888024,0.19132996632996635,0.0
scenario_only_per_seed,42,217,5,repeat_cap;tail_slot,False,0.19193342748236147,0.20385151713195737,0.13,-0.03502006915923728,0.2422727272727272,0.0
scenario_only_per_seed,42,218,5,repeat_cap;tail_slot,False,0.19278482220652848,0.20333948354327247,0.13,-0.03117076964997778,0.24938552188552188,0.0
scenario_only_per_seed,42,219,5,repeat_cap;tail_slot,True,0.18838610269296496,0.20743656949426892,0.13,-0.031832770456861836,0.19255050505050497,0.0
scenario_only_per_seed,43,200,1,repeat_cap,False,0.2664865033359364,0.28257497174367285,0.05,-0.03338984881752516,0.21779461279461287,0.0
scenario_only_per_seed,43,201,1,repeat_cap,False,0.2624965588601436,0.2841301884099277,0.05,-0.042494264769858625,0.23785353535353537,0.0
scenario_only_per_seed,43,202,1,repeat_cap,False,0.26442424255388064,0.2843815583560303,0.05,-0.045488067631453966,0.24432659932659928,0.0
scenario_only_per_seed,43,203,1,repeat_cap,False,0.2650377150071883,0.28510684886776877,0.05,-0.03449830433921797,0.2217508417508418,0.0
scenario_only_per_seed,43,204,1,repeat_cap,False,0.2628306823064306,0.28332537644855094,0.05,-0.03253421870939088,0.26707912457912464,0.0
scenario_only_per_seed,43,205,1,repeat_cap,False,0.26258391168829914,0.2811737498276845,0.05,-0.044932795144228765,0.2845959595959595,0.0
scenario_only_per_seed,43,206,1,repeat_cap,False,0.2667773812017963,0.2828272511044925,0.05,-0.03879151376481804,0.21678451178451175,0.0
scenario_only_per_seed,43,207,1,repeat_cap,False,0.2658265585973124,0.2815042416042167,0.05,-0.04702358256837158,0.2152188552188552,0.0
scenario_only_per_seed,43,208,1,repeat_cap,False,0.2601657108894787,0.28198841337550845,0.05,-0.039000428311021906,0.25242424242424244,0.0
scenario_only_per_seed,43,209,1,repeat_cap,False,0.2686492700002739,0.28029021117473907,0.05,-0.036146037234667694,0.22789562289562282,0.0
scenario_only_per_seed,43,210,1,repeat_cap,True,0.26108041503717383,0.2808980009513554,0.05,-0.03503893420905335,0.17784511784511792,0.0
scenario_only_per_seed,43,211,1,repeat_cap,False,0.2650128725808336,0.28169222763842416,0.05,-0.03552108179064628,0.2430050505050505,0.0
scenario_only_per_seed,43,212,1,repeat_cap,False,0.2625637271645816,0.28277274183082046,0.05,-0.03747098228412682,0.27602693602693607,0.0
scenario_only_per_seed,43,213,1,repeat_cap,False,0.26678628204074095,0.2839503051868386,0.05,-0.04536554325735309,0.22583333333333333,0.0
scenario_only_per_seed,43,214,1,repeat_cap,True,0.2635114279627506,0.2798372703956623,0.05,-0.03967039929172811,0.19685185185185183,0.0
scenario_only_per_seed,43,215,1,repeat_cap,False,0.2646738847369872,0.2781790395119881,0.05,-0.04118259942666691,0.2649999999999999,0.0
scenario_only_per_seed,43,216,1,repeat_cap,False,0.26498483966876085,0.28239704103235275,0.05,-0.047074259169044064,0.2344191919191918,0.0
scenario_only_per_seed,43,217,1,repeat_cap,False,0.26549965628108213,0.28164617444510565,0.05,-0.03702603334640575,0.2709848484848485,0.0
scenario_only_per_seed,43,218,1,repeat_cap,False,0.26590998824897605,0.28069359958886275,0.05,-0.03642962540598149,0.28628787878787887,0.0
