n_users,mean_diff,ci95,ci90,p_perm,p_wilcoxon,dz,dz_ci95,family,dataset,treatment,comparator,metric,p_perm_holm,p_wilcoxon_holm
7417,0.0040986921936092754,"[0.0024268572199002292, 0.005770527167318323]","[0.002669542941890253, 0.005500876365107186]",9.999000099990002e-05,3.0583844546641487e-06,0.05550719671142983,"[0.03381340832001145, 0.07625546999913564]",loo_treatment,amazon_books,loo-marginal,uniform,HitRate@20,0.000999900009999,9.175153363992446e-06
7417,0.004341377915599299,"[0.002696508022111366, 0.00604017796952946]","[0.002966158824322502, 0.0057705271673183225]",9.999000099990002e-05,3.5116090456491097e-07,0.05906848815139406,"[0.037787346590481746, 0.07987497607953775]",loo_treatment,amazon_books,loo-marginal,additive-pref,HitRate@20,0.000999900009999,1.755804522824555e-06
7417,0.0048537144398004585,"[0.0031549143858702984, 0.0065794795739517326]","[0.0034245651880814346, 0.006282863691519483]",9.999000099990002e-05,2.744094213336507e-08,0.06506789487904051,"[0.044020343377961395, 0.08541935993373428]",loo_treatment,amazon_books,loo-marginal,attention,HitRate@20,0.000999900009999,1.6464565280019042e-07
7417,0.004017796952945935,"[0.0023998921396791158, 0.0056626668464338685]","[0.002669542941890253, 0.005393016044222732]",9.999000099990002e-05,2.202967696232479e-06,0.055318694936640905,"[0.03368310722260505, 0.0765403315231955]",loo_treatment,amazon_books,loo-marginal,heuristic-pop,HitRate@20,0.000999900009999,8.811870784929915e-06
7417,0.0007010920857489551,"[-2.696508022111368e-05, 0.0014561143319401376]","[0.00010786032088445457, 0.0013212889308345693]",0.0775922407759224,0.04849856936807483,0.02135078810288458,"[-0.00088287049546172, 0.04354808985245819]",loo_treatment,amazon_books,loo-marginal,shapley-mc,HitRate@20,0.0775922407759224,0.04849856936807483
6015,0.003677820711221945,"[0.002541296126558603, 0.004824069289368246]","[0.0027153199578054863, 0.004639341320565254]",9.999000099990002e-05,1.6967366564662104e-16,0.07998542108100191,"[0.05440834072747033, 0.10592550272497459]",c1_loo,ml1m,loo-marginal,uniform,NDCG@20,0.0011998800119988001,2.0360839877594526e-15
6015,0.0035613350038237734,"[0.002386652265835412, 0.004750762987256857]","[0.002566909833998337, 0.0045513008577722355]",9.999000099990002e-05,6.765843643780464e-16,0.07591111660305803,"[0.050067203341560625, 0.10271638898630608]",c1_loo,ml1m,loo-marginal,additive-pref,NDCG@20,0.0011998800119988001,7.442428008158511e-15
6015,0.0031162040960931005,"[0.0018654274156442228, 0.004398429327788861]","[0.0020581968530839568, 0.004193108367697424]",9.999000099990002e-05,2.5095688256335707e-13,0.06172273535990305,"[0.036149006386658404, 0.08912197221823193]",c1_loo,ml1m,loo-marginal,attention,NDCG@20,0.0011998800119988001,2.2586119430702138e-12
6015,0.0034380042347464676,"[0.0022646956214380713, 0.0046427465032086454]","[0.002462664194896093, 0.00444807825140482]",9.999000099990002e-05,4.716325870227547e-15,0.07308633920973709,"[0.047400644348740126, 0.10035530958664465]",c1_loo,ml1m,loo-marginal,heuristic-pop,NDCG@20,0.0011998800119988001,4.716325870227547e-14
6015,0.0019033979245220282,"[0.0009905438761679136, 0.002813833040656691]","[0.001139068128911056, 0.0026728284778553607]",9.999000099990002e-05,7.767505762343132e-10,0.052645795074309644,"[0.027112154286975287, 0.07849025664729538]",c1_loo,ml1m,loo-marginal,valid-sim,NDCG@20,0.0011998800119988001,6.214004609874506e-09
6015,0.0012625910523690771,"[0.0005466183210806316, 0.0019732558601330006]","[0.0006655746012468827, 0.0018664521738985867]",0.0006999300069993001,6.000936468826838e-06,0.04376997866168398,"[0.018939552563763108, 0.06887256370854283]",c1_loo,ml1m,loo-marginal,valid-linear,NDCG@20,0.0020997900209979003,2.4003745875307353e-05
6015,0.007813798836242726,"[0.004620947630922694, 0.011005818786367414]","[0.005087281795511222, 0.010507065669160433]",9.999000099990002e-05,9.430818631871739e-08,0.06126349995654994,"[0.035737209516935285, 0.08638517340545096]",c1_loo,ml1m,loo-marginal,uniform,HitRate@20,0.0011998800119988001,6.601573042310217e-07
6015,0.007581047381546136,"[0.004256026600166251, 0.010939318370739819]","[0.0048212801330008315, 0.010342477140482104]",9.999000099990002e-05,2.2615631598600359e-07,0.058127975365498914,"[0.03247700516462702, 0.08365486461168477]",c1_loo,ml1m,loo-marginal,additive-pref,HitRate@20,0.0011998800119988001,1.3569378959160215e-06
6015,0.006650041562759768,"[0.0031587697423108895, 0.010108063175394847]","[0.0037572734829592683, 0.009576059850374066]",0.00039996000399960006,3.473033676005933e-05,0.04782196533905488,"[0.022483251268199347, 0.0727236933996304]",c1_loo,ml1m,loo-marginal,attention,HitRate@20,0.0015998400159984002,0.00010419101028017797
6015,0.007315045719035744,"[0.004056525353283458, 0.010673316708229427]","[0.00458852867830424, 0.010141313383208644]",9.999000099990002e-05,5.559754521478682e-07,0.056258087534614865,"[0.031062819575607466, 0.08236372365209971]",c1_loo,ml1m,loo-marginal,heuristic-pop,HitRate@20,0.0011998800119988001,2.7798772607393407e-06
6015,0.0033250207813798837,"[0.0007647547797173734, 0.005885286783042394]","[0.0011970074812967582, 0.005486284289276808]",0.011398860113988602,0.004581167082701184,0.03263899731689982,"[0.007636162523611548, 0.058098337763385084]",c1_loo,ml1m,loo-marginal,valid-sim,HitRate@20,0.022797720227977204,0.009162334165402368
6015,0.0020615128844555276,"[-3.3250207813799015e-05, 0.004123025768911056]","[0.00029925187032418956, 0.003790523690773068]",0.0560943905609439,0.04083965703661766,0.02501198439662093,"[-0.0004320097791959078, 0.050354121753757024]",c1_loo,ml1m,loo-marginal,valid-linear,HitRate@20,0.0560943905609439,0.04083965703661766
7417,0.002838859048402319,"[0.0020433124725023595, 0.0036784770975664014]","[0.0021591989628556014, 0.0035377990404071723]",9.999000099990002e-05,2.8321581607822817e-13,0.07846809082634769,"[0.06087487266028655, 0.095125706187138]",c1_loo,amazon_books,loo-marginal,uniform,NDCG@20,0.0011998800119988001,3.11537397686051e-12
7417,0.002916896688418498,"[0.0020764171423014698, 0.00377408008795335]","[0.0022133207702440343, 0.0036339344136308476]",9.999000099990002e-05,3.490158370623207e-13,0.07908515566819438,"[0.06086531804038678, 0.09556354512897332]",c1_loo,amazon_books,loo-marginal,additive-pref,NDCG@20,0.0011998800119988001,3.4901583706232073e-12
7417,0.0029880059104759335,"[0.0021822120097546175, 0.0038631331691923957]","[0.0023064756965080224, 0.0037198188426857217]",9.999000099990002e-05,4.0384165756660544e-13,0.08031401498474336,"[0.06296547702735077, 0.09680177270026812]",c1_loo,amazon_books,loo-marginal,attention,NDCG@20,0.0011998800119988001,3.634574918099449e-12
