LOG: 14400 impressions, click rate 0.5459 (0s)
BPR fitted (1s)
2026-08-19 21:05:25,832 | INFO | run_finished | {"run_dir": "/home/user/next-paper/paper-ideas/CURE-Rec/code/results/reviewer_phase_assets/semireal_integration/runs/handcrafted/semireal-handcrafted-20260819T203522Z-c13114a2", "status": "completed"}
HANDCRAFTED: repeat_cap (repair, 0.29851) (1804s)
2026-08-19 21:05:25,833 | INFO | run_started | {"config_hash": "cf21391ef1ca3caa", "run_id": "semireal-learned-bpr-20260819T210525Z-9535bc33"}
2026-08-19 21:05:25,834 | INFO | simulator_ready | {"horizon": 12, "n_items": 240, "n_users": 120, "scenario": "nominal"}
2026-08-19 21:12:47,346 | INFO | scenario_game_completed | {"grand_coalition_improvement": -0.1098121275371704, "scenario": "nominal", "shapley_efficiency_gap": 1.5265566588595902e-16}
2026-08-19 21:12:47,347 | INFO | simulator_ready | {"horizon": 12, "n_items": 240, "n_users": 120, "scenario": "fatigue_stress"}
2026-08-19 21:20:09,752 | INFO | scenario_game_completed | {"grand_coalition_improvement": -0.07893000872468747, "scenario": "fatigue_stress", "shapley_efficiency_gap": -8.326672684688674e-17}
2026-08-19 21:20:09,753 | INFO | simulator_ready | {"horizon": 12, "n_items": 240, "n_users": 120, "scenario": "popularity_stress"}
2026-08-19 21:27:31,998 | INFO | scenario_game_completed | {"grand_coalition_improvement": -0.0770347459658387, "scenario": "popularity_stress", "shapley_efficiency_gap": 5.551115123125783e-17}
2026-08-19 21:27:31,999 | INFO | simulator_ready | {"horizon": 12, "n_items": 240, "n_users": 120, "scenario": "mixed_stress"}
2026-08-19 21:34:52,059 | INFO | scenario_game_completed | {"grand_coalition_improvement": -0.07500377155745747, "scenario": "mixed_stress", "shapley_efficiency_gap": 1.249000902703301e-16}
2026-08-19 21:34:52,073 | INFO | robust_game_completed | {"robust_grand_improvement": -0.1098121275371704, "robust_shapley_efficiency_gap": 6.938893903907228e-17}
2026-08-19 21:34:52,079 | INFO | planner_mode_resolved | {"base_feasible": false, "base_lower_improvement": 0.0, "cost": 0.0, "fatigue_upper": 0.5253995078092428, "mode": "repair", "provider_disparity_upper": 0.3491666666666666, "relevance_delta_lower": 0.0}
2026-08-19 21:34:52,079 | INFO | portfolio_rejected | {"active_interventions": [], "coalition_mask": 0, "cost": 0.0, "fatigue_upper": 0.5253995078092428, "lower_improvement": 0.0, "mode": "repair", "provider_disparity_upper": 0.3491666666666666, "relevance_delta_lower": 0.0}
2026-08-19 21:34:52,079 | INFO | portfolio_rejected | {"active_interventions": ["explore_slot"], "coalition_mask": 2, "cost": 0.1, "fatigue_upper": 0.4927327351282251, "lower_improvement": -0.07370816543840539, "mode": "repair", "provider_disparity_upper": 0.3415432098765432, "relevance_delta_lower": -0.006956406858828146}
2026-08-19 21:34:52,079 | INFO | portfolio_rejected | {"active_interventions": ["tail_slot"], "coalition_mask": 4, "cost": 0.08, "fatigue_upper": 0.49307515382849315, "lower_improvement": -0.05462611837926923, "mode": "repair", "provider_disparity_upper": 0.3415432098765432, "relevance_delta_lower": -0.00694389492420755}
2026-08-19 21:34:52,080 | INFO | portfolio_rejected | {"active_interventions": ["explore_slot", "tail_slot"], "coalition_mask": 6, "cost": 0.18, "fatigue_upper": 0.4507573626082999, "lower_improvement": -0.1213989863088778, "mode": "repair", "provider_disparity_upper": 0.32412037037037034, "relevance_delta_lower": -0.014593231190216605}
2026-08-19 21:34:52,080 | INFO | portfolio_rejected | {"active_interventions": ["diversify"], "coalition_mask": 8, "cost": 0.06, "fatigue_upper": 0.5253995078092428, "lower_improvement": -0.06164288867890427, "mode": "repair", "provider_disparity_upper": 0.3476851851851852, "relevance_delta_lower": -0.004834058390510543}
2026-08-19 21:34:52,080 | INFO | portfolio_rejected | {"active_interventions": ["explore_slot", "diversify"], "coalition_mask": 10, "cost": 0.16, "fatigue_upper": 0.4952682478711467, "lower_improvement": -0.1347356605578576, "mode": "repair", "provider_disparity_upper": 0.33952160493827166, "relevance_delta_lower": -0.005774282834009048}
2026-08-19 21:34:52,080 | INFO | portfolio_rejected | {"active_interventions": ["tail_slot", "diversify"], "coalition_mask": 12, "cost": 0.14, "fatigue_upper": 0.5003682905820559, "lower_improvement": -0.11721434772298484, "mode": "repair", "provider_disparity_upper": 0.3431481481481482, "relevance_delta_lower": -0.00593062187880633}
2026-08-19 21:34:52,080 | INFO | portfolio_rejected | {"active_interventions": ["explore_slot", "tail_slot", "diversify"], "coalition_mask": 14, "cost": 0.24, "fatigue_upper": 0.46291811730240784, "lower_improvement": -0.18899849107236893, "mode": "repair", "provider_disparity_upper": 0.32943672839506166, "relevance_delta_lower": -0.010779782213352629}
2026-08-19 21:34:52,081 | INFO | portfolio_rejected | {"active_interventions": ["novel_slot"], "coalition_mask": 16, "cost": 0.08, "fatigue_upper": 0.5253995078092428, "lower_improvement": -0.09740437285828513, "mode": "repair", "provider_disparity_upper": 0.33851851851851844, "relevance_delta_lower": -0.023276146657991714}
2026-08-19 21:34:52,081 | INFO | portfolio_rejected | {"active_interventions": ["explore_slot", "novel_slot"], "coalition_mask": 18, "cost": 0.18, "fatigue_upper": 0.4927327351282251, "lower_improvement": -0.17131878163225, "mode": "repair", "provider_disparity_upper": 0.32114197530864197, "relevance_delta_lower": -0.031855384536285}
