seed,mask_a,mask_b,crn_difference,independent_difference,paired_difference,crn_run,independent_run
313,0,1,0.3057251959016809,0.3057237815858559,1.4143158250101706e-06,runs/reviewer-crn-click/crn-click-True-313-0-1-20260816T051048Z-ca687edf,runs/reviewer-crn-click/crn-click-False-313-0-1-20260816T054957Z-3795e95b
314,0,1,0.3028560336507576,0.30286117925875056,-5.145607992973478e-06,runs/reviewer-crn-click/crn-click-True-314-0-1-20260816T062940Z-03015e79,runs/reviewer-crn-click/crn-click-False-314-0-1-20260816T072331Z-f4cdd88d
315,0,1,0.3023296595449151,0.30232870441790083,9.55127014257151e-07,runs/reviewer-crn-click/crn-click-True-315-0-1-20260816T080319Z-a5bb95ff,runs/reviewer-crn-click/crn-click-False-315-0-1-20260816T103943Z-c73d80a0
316,0,1,0.30477672892280405,0.304766107005821,1.0621916983033497e-05,runs/reviewer-crn-click/crn-click-True-316-0-1-20260816T110248Z-33862fbc,runs/reviewer-crn-click/crn-click-False-316-0-1-20260816T112328Z-90a5133f
317,0,1,0.3040446654768555,0.3040452192253986,-5.537485431306166e-07,runs/reviewer-crn-click/crn-click-True-317-0-1-20260816T115233Z-6949c36a,runs/reviewer-crn-click/crn-click-False-317-0-1-20260816T121944Z-a520c9bb
318,0,1,0.29920892898346063,0.2992028847033721,6.044280088546294e-06,runs/reviewer-crn-click/crn-click-True-318-0-1-20260816T124710Z-0f705869,runs/reviewer-crn-click/crn-click-False-318-0-1-20260816T131535Z-a732da3a
319,0,1,0.300498710009488,0.3004906340201089,8.075989379130455e-06,runs/reviewer-crn-click/crn-click-True-319-0-1-20260816T134416Z-7d3a502f,runs/reviewer-crn-click/crn-click-False-319-0-1-20260816T141309Z-1d293555
300,1,5,-0.07628334975219422,-0.07628526713453204,1.917382337818241e-06,runs/reviewer-crn-click/crn-click-True-300-1-5-20260816T144334Z-20ef7c0b,runs/reviewer-crn-click/crn-click-False-300-1-5-20260816T151529Z-df5bdc43
301,1,5,-0.0767329836559178,-0.07673634365416479,3.359998246993401e-06,runs/reviewer-crn-click/crn-click-True-301-1-5-20260816T154704Z-25290e5e,runs/reviewer-crn-click/crn-click-False-301-1-5-20260816T161715Z-d0199bae
302,1,5,-0.07626387248065039,-0.07627465539601241,1.0782915362023138e-05,runs/reviewer-crn-click/crn-click-True-302-1-5-20260816T163558Z-f3ed8232,runs/reviewer-crn-click/crn-click-False-302-1-5-20260816T164857Z-065c943c
303,1,5,-0.0766681075721492,-0.07666636428875193,-1.7432833972763628e-06,runs/reviewer-crn-click/crn-click-True-303-1-5-20260816T170016Z-f6e2fb94,runs/reviewer-crn-click/crn-click-False-303-1-5-20260816T171122Z-c98984e9
304,1,5,-0.07586852611540221,-0.07586988262472305,1.3565093208434131e-06,runs/reviewer-crn-click/crn-click-True-304-1-5-20260816T172420Z-f4183594,runs/reviewer-crn-click/crn-click-False-304-1-5-20260816T173920Z-1d9da930
305,1,5,-0.07639988500267089,-0.07640406409245137,4.1790897804816485e-06,runs/reviewer-crn-click/crn-click-True-305-1-5-20260816T175237Z-20e4142f,runs/reviewer-crn-click/crn-click-False-305-1-5-20260816T180559Z-08aa4cc0
306,1,5,-0.07631876258806466,-0.07632666191242207,7.8993243574077e-06,runs/reviewer-crn-click/crn-click-True-306-1-5-20260816T181932Z-a34b7bbe,runs/reviewer-crn-click/crn-click-False-306-1-5-20260816T183231Z-a3683a2d
307,1,5,-0.07592893665935585,-0.07592179494210705,-7.141717248804191e-06,runs/reviewer-crn-click/crn-click-True-307-1-5-20260816T184408Z-c68f826b,runs/reviewer-crn-click/crn-click-False-307-1-5-20260816T185501Z-2acc845c
308,1,5,-0.07626122594689533,-0.07626876069375502,7.53474685968869e-06,runs/reviewer-crn-click/crn-click-True-308-1-5-20260816T190547Z-acae75c6,runs/reviewer-crn-click/crn-click-False-308-1-5-20260816T191637Z-4ca11f7d
309,1,5,-0.07648560928006698,-0.0764812020004147,-4.4072796522853785e-06,runs/reviewer-crn-click/crn-click-True-309-1-5-20260816T192737Z-228fe0de,runs/reviewer-crn-click/crn-click-False-309-1-5-20260816T195003Z-a424f5b6
310,1,5,-0.07655298592033227,-0.07655269659461778,-2.8932571449757916e-07,runs/reviewer-crn-click/crn-click-True-310-1-5-20260816T200143Z-c6567f0c,runs/reviewer-crn-click/crn-click-False-310-1-5-20260816T201246Z-0d4a95f3
311,1,5,-0.07628699111620421,-0.07629440191809816,7.410801893953378e-06,runs/reviewer-crn-click/crn-click-True-311-1-5-20260816T202421Z-63942aa8,runs/reviewer-crn-click/crn-click-False-311-1-5-20260816T203556Z-9f69fbcc
312,1,5,-0.07607028786745382,-0.07608277288691956,1.2485019465741098e-05,runs/reviewer-crn-click/crn-click-True-312-1-5-20260816T204652Z-e3e5e390,runs/reviewer-crn-click/crn-click-False-312-1-5-20260816T210003Z-bc59ed85
313,1,5,-0.07646218637632884,-0.07646956962159202,7.383245263170579e-06,runs/reviewer-crn-click/crn-click-True-313-1-5-20260816T211048Z-a17dfe4e,runs/reviewer-crn-click/crn-click-False-313-1-5-20260816T212133Z-23fecfb8
314,1,5,-0.07633974013647091,-0.07634475082433617,5.010687865264485e-06,runs/reviewer-crn-click/crn-click-True-314-1-5-20260816T213226Z-b166a079,runs/reviewer-crn-click/crn-click-False-314-1-5-20260816T214312Z-429ddaa4
315,1,5,-0.07623765943300681,-0.07623750877931593,-1.5065369088351765e-07,runs/reviewer-crn-click/crn-click-True-315-1-5-20260816T215407Z-8580391b,runs/reviewer-crn-click/crn-click-False-315-1-5-20260816T220433Z-ef7fe2d8
316,1,5,-0.07651726509673787,-0.07651333506839073,-3.930028347143288e-06,runs/reviewer-crn-click/crn-click-True-316-1-5-20260816T221507Z-1400a9d9,runs/reviewer-crn-click/crn-click-False-316-1-5-20260816T222700Z-7c809e8a
317,1,5,-0.07621424007796551,-0.07621419423496126,-4.584300425380938e-08,runs/reviewer-crn-click/crn-click-True-317-1-5-20260817T000549Z-b3be9c2e,runs/reviewer-crn-click/crn-click-False-317-1-5-20260817T002010Z-07197252
318,1,5,-0.07626399870983017,-0.07625413448782392,-9.864222006245038e-06,runs/reviewer-crn-click/crn-click-True-318-1-5-20260817T003034Z-470e8d80,runs/reviewer-crn-click/crn-click-False-318-1-5-20260817T012009Z-8682cc7e
319,1,5,-0.07630316602338114,-0.07629194728658084,-1.1218736800294726e-05,runs/reviewer-crn-click/crn-click-True-319-1-5-20260817T023309Z-c61f437d,runs/reviewer-crn-click/crn-click-False-319-1-5-20260817T024607Z-b29178ad
