dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,metric,mean,ci95_low,ci95_high,n_users,n_seeds,missing_users,condition_order,condition_label,component
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,greedy_cf,Greedy sequential deletion,faithfulness_alignment,0.3874417787099257,0.35955325832724033,0.41482914757198763,250,5,0,7,MovieLens n_max=100,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,greedy_cf,Greedy sequential deletion,actionability_gap,-0.006722673813242874,-0.012512398326985554,-0.001770660049332453,250,5,0,7,MovieLens n_max=100,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,lime,LIME,aia,0.9182666397545287,0.9103984132844434,0.9255272972417609,250,5,0,7,MovieLens n_max=100,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,lime,LIME,faithfulness_alignment,0.9279790780569986,0.9217908105651033,0.9339922622107949,250,5,0,7,MovieLens n_max=100,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,lime,LIME,actionability_gap,-0.009712438302469928,-0.015718181295767422,-0.004929687922533472,250,5,0,7,MovieLens n_max=100,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,loo,Leave-one-out,aia,0.9872307884870873,0.9813644210495261,0.9917550645027416,250,5,0,7,MovieLens n_max=100,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,loo,Leave-one-out,faithfulness_alignment,1.0,1.0,1.0,250,5,0,7,MovieLens n_max=100,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,loo,Leave-one-out,actionability_gap,-0.01276921151291266,-0.01859916277844574,-0.008244961483630872,250,5,0,7,MovieLens n_max=100,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,random,Random control,aia,0.0014860585330456822,-0.008117660829312059,0.010935008264400544,250,5,0,7,MovieLens n_max=100,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,random,Random control,faithfulness_alignment,0.001008875106157038,-0.01038218388780458,0.011433341275508534,250,5,0,7,MovieLens n_max=100,Deletion AIA
