n_users,mean_diff,ci95,ci90,p_perm,p_wilcoxon,dz,dz_ci95,family,dataset,treatment,comparator,metric,p_perm_holm,p_wilcoxon_holm
6015,0.009941812136325853,"[0.006349958437240234, 0.013566084788029923]","[0.00688279301745636, 0.013000831255195348]",9.999000099990002e-05,3.1353594367796595e-09,0.06903505462735729,"[0.04383454403621413, 0.0942329425088937]",ngcf_loo,ml1m,loo-marginal,valid-sim,HitRate@20,0.0011998800119988001,1.2541437747118638e-08
6015,0.00428927680798005,"[0.001662510390689942, 0.007049044056525353]","[0.002061512884455528, 0.0065519534497090375]",0.0013998600139986002,0.0006129511322511587,0.04052608496257956,"[0.01576006523966573, 0.06637823610615681]",ngcf_loo,ml1m,loo-marginal,valid-linear,HitRate@20,0.0013998600139986002,0.0006129511322511587
7417,0.0016830491042200348,"[0.0012692108098759606, 0.00211373129671026]","[0.001332039277834704, 0.0020474467860186057]",9.999000099990002e-05,8.598464856906299e-13,0.08824869569041836,"[0.06990864448901495, 0.10605455619514416]",ngcf_loo,amazon_books,loo-marginal,uniform,NDCG@20,0.0011998800119988001,1.0318157828287558e-11
7417,0.0015038067792908184,"[0.0010998738320075502, 0.0019247688469866521]","[0.001163482712808413, 0.001856726266374545]",9.999000099990002e-05,6.397764337742032e-12,0.08240492675289166,"[0.06345393337491892, 0.10089179713464445]",ngcf_loo,amazon_books,loo-marginal,additive-pref,NDCG@20,0.0011998800119988001,7.037540771516235e-11
7417,0.0013713240978832412,"[0.0009755702118781177, 0.0017828663378791963]","[0.0010376472878657137, 0.0017181293329917757]",9.999000099990002e-05,5.641551374363813e-11,0.07697052525745302,"[0.057465790073592565, 0.09576575595877525]",ngcf_loo,amazon_books,loo-marginal,attention,NDCG@20,0.0011998800119988001,4.5132410994910503e-10
7417,0.0014737499077794255,"[0.0010726214148712417, 0.001890378532647971]","[0.0011356543870837264, 0.001819673788297155]",9.999000099990002e-05,7.598349692549625e-12,0.08278325429806667,"[0.06336363649293128, 0.10114939098373882]",ngcf_loo,amazon_books,loo-marginal,heuristic-pop,NDCG@20,0.0011998800119988001,7.598349692549626e-11
7417,0.0013258697478765,"[0.0009462998522920318, 0.0017148370976203318]","[0.001007608966954294, 0.0016523110402318997]",9.999000099990002e-05,1.6433458664634956e-10,0.07834786145956699,"[0.0586761077695372, 0.09708034017887553]",ngcf_loo,amazon_books,loo-marginal,valid-sim,NDCG@20,0.0011998800119988001,1.1503421065244469e-09
7417,0.001378760355939059,"[0.000985014044883376, 0.0017841339995955238]","[0.001042973208763651, 0.0017188222042604825]",9.999000099990002e-05,2.470258573469393e-08,0.07758092353173542,"[0.058520067121639055, 0.09510492538200567]",ngcf_loo,amazon_books,loo-marginal,valid-linear,NDCG@20,0.0011998800119988001,7.410775720408179e-08
7417,0.003721181070513685,"[0.0026425778616691385, 0.0048267493595793454]","[0.0028043683429958203, 0.004664958878252663]",9.999000099990002e-05,3.804762517915344e-11,0.07731936371460274,"[0.05715603484443122, 0.09675527221996803]",ngcf_loo,amazon_books,loo-marginal,uniform,HitRate@20,0.0011998800119988001,3.4242862661238093e-10
7417,0.0034515302683025485,"[0.0023998921396791158, 0.004557098557368208]","[0.0025347175407846845, 0.004395308076041526]",9.999000099990002e-05,4.418552646949022e-10,0.07236322041456901,"[0.051956319394090365, 0.09236156494393795]",ngcf_loo,amazon_books,loo-marginal,additive-pref,HitRate@20,0.0011998800119988001,2.209276323474511e-09
