contrast,metric,treatment,control,seed,mean_diff,median_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,n_users
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,46,0.0032870450523690775,0.0,0.062011637572734826,0.037073981712385705,0.9009143807148795,6015
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,42,0.00997506234413965,0.0,0.018620116375727348,0.008645054031587697,0.972734829592685,6015
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,43,0.010473815461346634,0.0,0.019285120532003326,0.00881130507065669,0.97190357439734,6015
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,44,0.007813798836242726,0.0,0.018620116375727348,0.010806317539484621,0.9705735660847881,6015
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,45,0.010806317539484621,0.0,0.0199501246882793,0.00914380714879468,0.970906068162926,6015
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,46,0.008645054031587697,0.0,0.016791354945968413,0.008146300914380716,0.9750623441396509,6015
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,42,0.0010966294596841228,0.0,0.041895261845386535,0.03773898586866168,0.9203657522859517,6015
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,43,0.0006623392285951789,0.0,0.042061512884455525,0.04405652535328346,0.913881961762261,6015
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,44,-0.0007703528844555277,0.0,0.038237738985868665,0.043059019118869495,0.9187032418952619,6015
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,45,0.0010529196874480464,0.0,0.041895261845386535,0.03807148794679967,0.9200332502078138,6015
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,46,-2.4054945968411905e-06,0.0,0.04239401496259352,0.04139650872817955,0.9162094763092269,6015
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,42,0.002660016625103907,0.0,0.008977556109725686,0.006317539484621779,0.9847049044056525,6015
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,43,0.0024937655860349127,0.0,0.00831255195344971,0.005818786367414797,0.9858686616791354,6015
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,44,-0.0014962593516209476,0.0,0.0059850374064837905,0.007481296758104738,0.9865336658354115,6015
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,45,0.0023275145469659184,0.0,0.008146300914380716,0.005818786367414797,0.9860349127182045,6015
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,46,0.0014962593516209476,0.0,0.008977556109725686,0.007481296758104738,0.9835411471321696,6015
