point_id,varied_parameter,varied_value,is_baseline,seed_count,selected_portfolio_mode,selected_portfolio_mode_frequency,selection_stability,repeat_cap_selection_rate,base_feasibility_rate,repair_rate,improvement_rate,feasible_selection_rate,lower_improvement_mean,lower_improvement_std,provider_disparity_upper_mean,fatigue_upper_mean,config_hash,recovered_seed_count,parameter_fatigue_strength,parameter_repeat_threshold,parameter_horizon,parameter_provider_threshold,parameter_provider_balance_strength,parameter_novelty_delayed_benefit,parameter_exploration_cost
lhs-013,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,1.0,0.0,1.0,1.0,0.2122597329563276,0.002400196381008383,0.2250555555555555,0.0,fc788fa65888e154,5,1.2997391380509549,4,12,0.35610229330517396,0.21258069737067592,0.000655786893977524,0.04314189752724214
lhs-014,joint_lhs,,False,5,"('provider_balance',)",3,0.6,0.4,0.0,1.0,0.0,1.0,-0.11222592579075949,0.012221136571148958,0.12489259259259256,0.020163593039934175,820e32b08314c775,5,0.717609742497244,4,5,0.208166626412772,0.4455066122142832,0.04491075694793521,0.14159373812997958
lhs-015,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,1.0,0.0,1.0,1.0,0.09799224624629128,0.0021945917839462856,0.24314021164021163,0.0,43ff047c3c3bf882,5,0.844031513064585,3,7,0.31745645189812155,0.07138127972691505,0.029056561088482417,0.12584087125112206
lhs-016,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,0.0,1.0,0.0,1.0,0.23741887678078366,0.0024261310538671063,0.21050617283950618,0.33067965976023134,b92e2f7db8e27784,5,0.7919263954171023,2,18,0.2423265503069713,0.11487422557245996,0.07625014625631256,0.16474978644386046
lhs-017,joint_lhs,,False,5,"('repeat_cap',)",4,0.8,1.0,0.0,1.0,0.0,1.0,0.3280338506561217,0.03348783402017855,0.21340608465608465,0.0,363045b71931d884,5,1.1476422263841983,3,14,0.22817375542273644,0.7084705348365667,0.05533827431297006,0.09302482757383762
lhs-018,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,0.0,1.0,0.0,1.0,0.4270579424429181,0.00263541854011203,0.20758611111111108,0.0,efc82039204d4da5,5,0.9106019014506977,3,20,0.23383295081049627,0.16069366077499958,0.06871263848791041,0.10968163267578765
lhs-019,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,1.0,0.0,1.0,1.0,0.0076006814433930425,0.0014877206852921773,0.24702469135802466,0.3551218221036116,1583c7d9e9df3081,5,0.9445325685668375,1,6,0.3335367532846225,0.05479740266989178,0.02429315131769315,0.12451181274192388
lhs-020,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,0.4,0.6,0.4,1.0,0.34270332676836557,0.0023254070352888546,0.21786640211640212,0.0,d11bdd166b125838,5,0.7300548466355924,3,14,0.2991026938065925,0.6951541512938912,0.036628650597827044,0.19566505013294083
lhs-021,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.358266094725214,0.0026683396137744874,0.20868615984405453,0.0,fb180b03f3d8afc9,5,1.0134252749428017,4,19,0.3083599575797106,0.5501515958653262,0.04202731869008058,0.05256665434811711
lhs-022,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,0.0,1.0,0.0,1.0,0.2309139813555451,0.002101817008571412,0.21318287037037034,0.31133331155145594,5797c8f16a924985,5,1.2608272843519737,2,16,0.33039821695353566,0.25355220402714795,0.051853731685185867,0.1788802811592446
lhs-023,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.31191522245865194,0.002388859621052919,0.21318287037037034,0.0,ff453f13283a986d,5,0.9901668166516082,4,16,0.2859647041657989,0.577441771702555,0.049087360563283056,0.15496439962736738
lhs-024,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.24313515697011995,0.0024848639481814356,0.2212037037037037,0.0,2c636c3a6162791f,5,1.217156765943167,4,13,0.288332771369031,0.6387611888954383,0.06438571768421217,0.1127488735003583
