contrast,metric,treatment,control,seed,mean_diff,median_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,n_users
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,44,0.008146300914380716,0.0,0.014796342477140482,0.006650041562759767,0.9785536159600997,6015
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,45,0.009808811305070657,0.0,0.015461346633416459,0.005652535328345802,0.9788861180382378,6015
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,46,0.006317539484621779,0.0,0.01512884455527847,0.00881130507065669,0.9760598503740648,6015
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,42,0.0027746386583541146,0.0,0.05901911886949293,0.029925187032418952,0.9110556940980881,6015
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,43,0.002364089993349958,0.0,0.05885286783042394,0.031088944305901912,0.9100581878636741,6015
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,44,0.003190106487115545,0.0,0.05785536159600998,0.03025768911055694,0.9118869492934331,6015
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,45,0.0030823702327514545,0.0,0.05785536159600998,0.03308395677472984,0.9090606816292602,6015
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,46,0.002290561925187032,0.0,0.061014131338320864,0.031088944305901912,0.9078969243557772,6015
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,42,0.007813798836242726,0.0,0.016126350789692434,0.00831255195344971,0.9755610972568578,6015
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,43,0.005486284289276808,0.0,0.013133832086450541,0.007647547797173733,0.9792186201163757,6015
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,44,0.007813798836242726,0.0,0.015461346633416459,0.007647547797173733,0.9768911055694098,6015
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,45,0.010473815461346634,0.0,0.016957605985037406,0.006483790523690773,0.9765586034912718,6015
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,46,0.006151288445552784,0.0,0.015461346633416459,0.009310058187863674,0.9752285951787198,6015
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,42,-0.0014269365419783873,0.0,0.03025768911055694,0.05320033250207814,0.916541978387365,6015
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,43,-0.000208830196176226,0.0,0.03275145469659185,0.0485453034081463,0.9187032418952619,6015
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,44,-0.00018759887281795515,0.0,0.03158769742310889,0.051371571072319204,0.9170407315045719,6015
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,45,-0.00017823931670822934,0.0,0.03258520365752286,0.046550290939318374,0.9208645054031588,6015
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,46,-0.0006588793383208645,0.0,0.03225270157938487,0.0487115544472153,0.9190357439733998,6015
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,42,-0.002660016625103907,0.0,0.00515378221113882,0.007813798836242726,0.9870324189526185,6015
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,43,0.0008312551953449709,0.0,0.0071487946799667496,0.006317539484621779,0.9865336658354115,6015
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,44,0.0024937655860349127,0.0,0.008645054031587697,0.006151288445552784,0.9852036575228595,6015
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,45,0.0011637572734829592,0.0,0.007481296758104738,0.006317539484621779,0.9862011637572735,6015
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,46,0.0,0.0,0.005652535328345802,0.005652535328345802,0.9886949293433084,6015
