dataset,model,left,right,n,diff,ci_low,ci_high,p_perm,dz,p_holm
MovieLens-1M,itemknn,LIME,LOO,1000,-0.04461298315565276,-0.04770567006796611,-0.04166269377281348,0.000999000999000999,-0.9264487503044301,0.000999000999000999
MovieLens-1M,itemknn,LIME,Greedy,1000,0.6150904258993815,0.5972592063546892,0.6328948945116194,0.000999000999000999,2.1833118025600227,0.000999000999000999
MovieLens-1M,itemknn,LIME,Random,1000,0.933006210300733,0.9241844740158827,0.9417842197152851,0.000999000999000999,6.530539942120888,0.000999000999000999
MovieLens-1M,itemknn,LOO,Greedy,1000,0.6597034090550342,0.6422592589996904,0.6772087277424068,0.000999000999000999,2.3880591268752425,0.000999000999000999
MovieLens-1M,itemknn,LOO,Random,1000,0.977619193456386,0.9699717872023638,0.9855494318199836,0.000999000999000999,7.613193876638322,0.000999000999000999
MovieLens-1M,itemknn,Greedy,Random,1000,0.31791578440135176,0.2991325815679131,0.33594282673988135,0.000999000999000999,1.0816037862283698,0.000999000999000999
MovieLens-1M,profile,Shapley,LIME,1000,-0.18583733529112786,-0.1907765792448006,-0.18068063552056818,0.000999000999000999,-2.2837552419101876,0.000999000999000999
MovieLens-1M,profile,Shapley,LOO,1000,-0.20613328576480286,-0.21141039728228433,-0.2009075490277267,0.000999000999000999,-2.489691218189823,0.000999000999000999
MovieLens-1M,profile,Shapley,Greedy,1000,0.47096344286260694,0.45827686593269984,0.4837059964988571,0.000999000999000999,2.2824667655518356,0.000999000999000999
MovieLens-1M,profile,Shapley,Random,1000,0.7871303157781331,0.7782862726847456,0.7956347472234936,0.000999000999000999,5.562005358632286,0.000999000999000999
MovieLens-1M,profile,LIME,LOO,1000,-0.020295950473674985,-0.02149473951216488,-0.019138323079397435,0.000999000999000999,-1.0501782979598353,0.000999000999000999
MovieLens-1M,profile,LIME,Greedy,1000,0.6568007781537348,0.6448004309988257,0.6688089847478372,0.000999000999000999,3.335265347007455,0.000999000999000999
MovieLens-1M,profile,LIME,Random,1000,0.9729676510692609,0.965787241498955,0.980010320319902,0.000999000999000999,8.467399060227699,0.000999000999000999
MovieLens-1M,profile,LOO,Greedy,1000,0.6770967286274098,0.6653743032562124,0.6887454453285362,0.000999000999000999,3.514870437023448,0.000999000999000999
MovieLens-1M,profile,LOO,Random,1000,0.9932636015429358,0.9862943801013229,1.00012350739186,0.000999000999000999,8.853483341086646,0.000999000999000999
MovieLens-1M,profile,Greedy,Random,1000,0.31616687291552614,0.3034034252180997,0.33005103958837856,0.000999000999000999,1.4455977218407747,0.000999000999000999
