source,family,family_size,left,right,n_users,mean_difference,raw_p,exceedances,draws,published_holm_p,recomputed_holm_p
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy,10,LOO,Random control,250,0.394873317206,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy,10,Greedy seq. del.,Random control,250,0.114068797216,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy_ndcg,10,MC Shapley,LIME,6,0,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy_ndcg,10,MC Shapley,LOO,6,0,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy_ndcg,10,MC Shapley,Greedy seq. del.,6,0.222222222222,0.491250874913,4912,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy_ndcg,10,MC Shapley,Random control,6,0.388888888889,0.0645935406459,645,10000,0.626937306269,0.626937306269
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy_ndcg,10,LIME,LOO,6,0,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy_ndcg,10,LIME,Greedy seq. del.,6,0.222222222222,0.504349565043,5043,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy_ndcg,10,LIME,Random control,6,0.388888888889,0.0650934906509,650,10000,0.626937306269,0.626937306269
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy_ndcg,10,LOO,Greedy seq. del.,6,0.222222222222,0.497850214979,4978,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy_ndcg,10,LOO,Random control,6,0.388888888889,0.0626937306269,626,10000,0.626937306269,0.626937306269
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy_ndcg,10,Greedy seq. del.,Random control,6,0.166666666667,0.371162883712,3711,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / faithfulness_alignment,10,MC Shapley,LIME,250,-1.20904189473,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / faithfulness_alignment,10,MC Shapley,LOO,250,-1.28750596284,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / faithfulness_alignment,10,MC Shapley,Greedy seq. del.,250,-0.860564214247,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / faithfulness_alignment,10,MC Shapley,Random control,250,-0.286289425843,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / faithfulness_alignment,10,LIME,LOO,250,-0.0784640681069,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / faithfulness_alignment,10,LIME,Greedy seq. del.,250,0.348477680483,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
