seed,user,n_players,method,method_label,aia,faithfulness_alignment,joint_effect_b2,joint_regret_b2,normalized_regret_b2,actionability_gap,efficiency_error
43,34,20,shapley_mc,Monte Carlo Shapley,0.7293233082706766,0.7308270676691728,0.0006854451735221478,,,-0.0015037593984962294,0.0
43,34,20,loo_oracle,LOO oracle,0.9819548872180449,1.0,0.00011407812026231756,,,-0.018045112781955086,0.0
43,34,20,lime,LIME,0.863157894736842,0.8962406015037594,0.00011407812026231756,,,-0.03308270676691738,0.0
43,35,20,shapley_mc,Monte Carlo Shapley,0.6541353383458646,0.7518796992481201,0.0006519921883013646,,,-0.09774436090225558,0.0
43,35,20,loo_oracle,LOO oracle,0.9037593984962405,1.0,0.0005091415546026878,,,-0.09624060150375946,0.0
43,35,20,lime,LIME,0.8180451127819548,0.9488721804511278,0.0005091415546026878,,,-0.13082706766917296,0.0
43,36,20,shapley_mc,Monte Carlo Shapley,0.831578947368421,0.8180451127819548,0.001239854706804322,,,0.013533834586466176,2.168404344971009e-18
43,36,20,loo_oracle,LOO oracle,0.993984962406015,1.0,0.0006737198309800241,,,-0.006015037593985029,2.168404344971009e-18
43,36,20,lime,LIME,0.9684210526315788,0.9759398496240601,0.0006737198309800241,,,-0.007518796992481258,2.168404344971009e-18
43,37,20,shapley_mc,Monte Carlo Shapley,0.7819548872180451,0.7022556390977444,-0.00013685734315899145,,,0.07969924812030071,8.673617379884035e-19
43,37,20,loo_oracle,LOO oracle,0.9804511278195487,1.0,-0.00013685734315899145,,,-0.019548872180451315,8.673617379884035e-19
43,37,20,lime,LIME,0.8150375939849623,0.8601503759398496,-0.0005359410959053235,,,-0.045112781954887216,8.673617379884035e-19
43,38,20,shapley_mc,Monte Carlo Shapley,0.5428571428571428,0.5503759398496241,0.0015364100328117969,,,-0.007518796992481258,0.0
43,38,20,loo_oracle,LOO oracle,0.9924812030075187,1.0,0.0006505531780867102,,,-0.007518796992481258,0.0
43,38,20,lime,LIME,0.9263157894736842,0.9503759398496241,0.0006921279975194428,,,-0.024060150375939893,0.0
43,39,20,shapley_mc,Monte Carlo Shapley,0.8721804511278194,0.8436090225563909,0.0003215463595610535,,,0.02857142857142847,1.734723475976807e-18
43,39,20,loo_oracle,LOO oracle,0.9894736842105262,1.0,0.00023203394506143837,,,-0.010526315789473828,1.734723475976807e-18
43,39,20,lime,LIME,0.8345864661654135,0.8511278195488721,0.00023203394506143837,,,-0.016541353383458524,1.734723475976807e-18
43,40,12,shapley_mc,Monte Carlo Shapley,0.8881118881118882,0.8881118881118882,-0.0003135199023435731,,,0.0,3.469446951953614e-18
43,40,12,loo_oracle,LOO oracle,1.0,1.0,-0.0003135199023435731,,,0.0,3.469446951953614e-18
43,40,12,lime,LIME,0.9580419580419581,0.9580419580419581,-0.0003135199023435731,,,0.0,3.469446951953614e-18
43,41,20,shapley_mc,Monte Carlo Shapley,0.6766917293233082,0.6766917293233082,0.00293475759074302,,,0.0,0.0
43,41,20,loo_oracle,LOO oracle,1.0,1.0,0.0029750436661429847,,,0.0,0.0
43,41,20,lime,LIME,0.9248120300751879,0.9248120300751879,0.00293475759074302,,,0.0,0.0
43,42,18,shapley_mc,Monte Carlo Shapley,0.7564499484004128,0.7564499484004128,-0.008147314965172403,,,0.0,2.0816681711721685e-17
43,42,18,loo_oracle,LOO oracle,1.0,1.0,-0.008147314965172403,,,0.0,2.0816681711721685e-17
43,42,18,lime,LIME,0.9834881320949431,0.9834881320949431,-0.008147314965172403,,,0.0,2.0816681711721685e-17
43,43,20,shapley_mc,Monte Carlo Shapley,0.5789473684210527,0.5849624060150376,0.00043868886496817305,,,-0.006015037593984918,4.336808689942018e-19
43,43,20,loo_oracle,LOO oracle,0.9669172932330825,1.0,6.986228180488885e-05,,,-0.03308270676691749,4.336808689942018e-19
43,43,20,lime,LIME,0.819548872180451,0.8962406015037594,-0.00032792348136923,,,-0.07669172932330837,4.336808689942018e-19
43,44,20,shapley_mc,Monte Carlo Shapley,0.42105263157894735,0.34586466165413526,0.000444979843626514,,,0.07518796992481208,0.0
43,44,20,loo_oracle,LOO oracle,0.9518796992481202,1.0,5.4650595967986604e-05,,,-0.048120300751879785,0.0
43,44,20,lime,LIME,0.7984962406015037,0.882706766917293,5.4650595967986604e-05,,,-0.08421052631578929,0.0
43,45,20,shapley_mc,Monte Carlo Shapley,0.7984962406015037,0.7383458646616541,-0.00016882989759564593,,,0.06015037593984962,8.673617379884035e-19
43,45,20,loo_oracle,LOO oracle,0.9699248120300751,1.0,-0.000610895500574693,,,-0.03007518796992492,8.673617379884035e-19
43,45,20,lime,LIME,0.8586466165413533,0.918796992481203,-0.000610895500574693,,,-0.06015037593984962,8.673617379884035e-19
