contrast,metric,treatment,control,seed,mean_diff,median_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,n_users
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,42,0.0025616826210057976,0.0,0.005932317648645004,0.003370635027639207,0.9906970473237158,7417
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,43,0.003640285829850344,0.0,0.005932317648645004,0.002292031818794661,0.9917756505325603,7417
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,44,0.004314412835378185,0.0,0.007415397060806256,0.0031009842254280705,0.9894836187137657,7417
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,45,0.0039099366320614806,0.0,0.0066064446541728465,0.002696508022111366,0.9906970473237158,7417
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,46,0.003775111230955912,0.0,0.0066064446541728465,0.0028313334232169343,0.9905622219226102,7417
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,42,0.0024770626735877038,0.0,0.023324794391263313,0.012269111500606715,0.9644060941081299,7417
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,43,0.0021761802413374676,0.0,0.023729270594580017,0.01253876230281785,0.9637319671026021,7417
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,44,0.0024684168208170417,0.0,0.023324794391263313,0.01334771470945126,0.9633274908992854,7417
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,45,0.0024611641243090197,0.0,0.02359444519347445,0.013482540110556829,0.9629230146959687,7417
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,46,0.002108031109613051,0.0,0.021032762572468652,0.012403936901712282,0.9665633005258191,7417
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,42,0.003370635027639207,0.0,0.006741270055278414,0.003370635027639207,0.9898880949170824,7417
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,43,0.004584063637589322,0.0,0.00633679385196171,0.0017527302143723878,0.9919104759336659,7417
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,44,0.00471888903869489,0.0,0.007685047863017392,0.002966158824322502,0.9893487933126601,7417
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,45,0.0040447620331670485,0.0,0.006876095456383983,0.0028313334232169343,0.990292571120399,7417
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,46,0.0040447620331670485,0.0,0.006741270055278414,0.002696508022111366,0.9905622219226102,7417
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,42,-0.00025859454900903334,0.0,0.010111905082917622,0.015504921127140353,0.974383173789942,7417
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,43,-0.0008161168882297424,0.0,0.009572603478495348,0.016044222731562627,0.974383173789942,7417
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,44,-9.779969529459348e-05,0.0,0.012269111500606715,0.01644869893487933,0.971282189564514,7417
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,45,-0.0007746898651745988,0.0,0.009302952676284212,0.0165835243359849,0.9741135229877309,7417
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,46,-0.0005205923486584873,0.0,0.010516381286234326,0.016853175138196036,0.9726304435755696,7417
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,42,-0.00026965080221113657,0.0,0.0017527302143723878,0.0020223810165835242,0.9962248887690441,7417
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,43,-0.001348254011055683,0.0,0.0010786032088445463,0.0024268572199002292,0.9964945395712552,7417
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,44,0.000943777807738978,0.0,0.002696508022111366,0.0017527302143723878,0.9955507617635162,7417
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,45,-0.001483079412161251,0.0,0.001348254011055683,0.0028313334232169343,0.9958204125657274,7417
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,46,-0.001348254011055683,0.0,0.001887555615477956,0.003235809626533639,0.9948766347579884,7417
